"Gift Wrap","Gift Wrap"
"Add New","Add New"
"Exclude Products Rule error: ","Exclude Products Rule error: "
"File(s) %s are invalid. Supported file types are: %s.","File(s) %s are invalid. Supported file types are: %s."
"Order Gift Wrap Options","Order Gift Wrap Options"
"Wrapping products separately?","Wrapping products separately?"
"Gift Message","Gift Message"
"Name","Name"
"Enabled","Enabled"
"Visible on","Visible on"
"Description","Description"
"Price","Price"
"Image","Image"
"Sort Order","Sort Order"
"Action","Action"
"Delete","Delete"
"Delete Image","Delete Image"
"Gift wrap available","Gift wrap available"
"Add gift wrap","Add gift wrap"
"Please select gift wrap design","Please select gift wrap design"
"Wrap each product separately","Wrap each product separately"
"General Settings","General Settings"
"Enable Gift Wrap","Enable Gift Wrap"
"Allow wrapping products separately","Allow wrapping products separately"
"Enable Gift Message","Enable Gift Message"
"Exclude Products","Exclude Products"
"Wrap Types","Wrap Types"