"-- Manual","-- Handmatig"
"-- none","-- geen"
"An improved search box within the search results. When shown, it will make it easier for users to reach specific content on your site, directly through your own site-search pages. This code is limited to the homepage.","Een verbeterde zoekfunctie in de zoekresultaten. Wanneer getoond zal het gemakkelijker zijn  voor gebruikers om specifieke inhoud te bereiken op uw site, rechtstreeks via uw eigen site-zoekpagina's. Deze code is beperkt tot de homepage."
"Add your pinterest and twitter username and activate the Pinterest Rich Pins and Twitter Product Cards on product and/or cateogrie level.","Voeg uw pinterest en twitter gebruikersnaam toe, en activeer de Pinterest Rich Pins en Twitter Product Cards op producten en/of catogorizeer niveau."
"Additional Information Block","Toevoegend informatie blok"
"Address","Adres"
"Advanced: Custom Layout Update Handle","Geavanceerd: Handmatige Layout Update Handle"
"After Content","Na inhoud"
"Alternate Name","Alternatieve naam"
"An improved search box within the search results. When shown, it will make it easier for users to reach specific content on your site, directly through your own site-search pages.","Een verbeterde zoekbalk in de zoek resultaten. Wanneer afgebeeld in de zoekmachine resultaten kunnen gebruikers direct zoeken binnen uw website zonder de site te openen."
"Attribute","Attribuut"
"Before Content","Voor Inhoud"
"Brand Attribute","Merk attribuut"
"Category Page Configuration","Categorie Pagina Configuratie"
"Category Rich Snippets: General","Categorie Rich Snippets: Algemeen"
"CMS Pages: Open Graph Facebook Tags","CMS Pagina's: Open Graph Facebook Tags"
"CMS Pages & Homepage Configuration","CMS Pagina's & Homepage Configuratie"
"CMS Pages: Twitter Cards","CMS Pagina's: Twitter Cards"
"Color Attribute","Kleur attribuut"
"Contact Information","Contact Informatie"
"Company","Bedrijf"
"Condition Attribute","Conditie attribuut"
"Custom Home Title","Afwijkende Home titel"
"Custom Location","Afwijkende locatie"
"Custom Title","Afwijkende titel"
"Damaged","Beschadigd"
"Default Condition","Standaard conditie"
"Detailed Breadcrumbs","Gedetailleerde Breadcrumbs"
"Display","Laat zien"
"Email","Email"
"Enable","Zet aan"
"Enabled","Aangezet"
"Enter the appropriate Google+ link starting with +.","Voer de Google+ username toe startend met een +."
"Extra Data: Brand","Extra Data: Merk"
"Extra Data: Color","Extra Data: Kleur"
"Extra Data: Description","Extra Data: Omschrijving"
"Extra Data: Model","Extra Data: Model"
"Extra Data: Product Description","Extra Data: Product Omschrijving"
"Extra Data: Product Identifier","Extra Data: Product Identifier"
"Facebook Company Link","Facebook Link"
"Facebook Company username","Facebook Gebruikersnaam"
"Facebook requires the logo to be at least 200px by 200px","Facebook vereist een logo van minstens 200px bij 200px"
"Fill in your official Company Name","Voer de officiële bedrijfs naam in"
"Footer","Voettekst"
"General configuration","Algemene configuratie"
"Googleplus Username","Googleplus Gebruikersnaam"
"General Settings","Algemene Instellingen"
"Googleplus landingpage","Googleplus Landingspage"
"Hidden - Json","Verbogen - Json"
"Hidden: Json","Verbogen in Header: Json"
"Hide if no price","Laat niet zien als er geen prijs is"
"Image Url","Afbeelding Url"
"In stock","Op voorraad"
"Instagram Username","Instagram Gebruikersnaam"
"Instagram landingpage","Instagram Landingspage"
"Length of Description","Lengte van omschrijving"
"Licence","Vergunning"
"License Key","Vergunning sleutel"
"Linkedin landingpage","Linkedin Landingspage"
"Linkedin username","Linkedin Gebruikersnaam"
"Locality","Locatie"
"Location in Footer","Locatie in voettekst"
"Location on Productpage","Locatie op Productpagina"
"Logo Url","Logo Url"
"Magento Reviews","Magento Beoordelingen"
"Magmodules","Magmodules"
"Magmodules: Shopreview","Magmodules: Winkelbeoordelingen"
"Markup","Markup"
"Model Attribute","Model Attribuut"
"New","Nieuw"
"No","Nee"
"Our %s has been rated %s based on %s individual customer review(s)","Onze %s zijn beoordeeld %s gebaseerd op %s individuele klant beoordelingen(s)"
"Out of","Vanuit"
"Out of Stock","Niet op voorraad"
"Please select the extra currencies for display","Indien beschikbaar, gebruik meerdere valuta om mee te nemen in de snippets"
"Pinterest Rich Pins","Pinterest Rich Pins"
"Pinterest Sitename","Pinterest Site naam"
"Position","Positie"
"Postal Code","Postcode"
"Price Type","Prijs Type"
"Price:","Prijs:"
"Prices","Prijzen"
"Prices from %s to %s","Prijzen van %s tot %s"
"Product Description Block","Product Omschrijving blok"
"Product Grid","Product Grid"
"Product Page Configuration","Product Pagina Configuratie"
"Product Review Block (Modern Theme)","Product Beoordelings Blok (Modern Thema)"
"Product Rich Snippets: General","Product Rich Snippets: Algemeen"
"RDF - Data-vocabulary","RDF - Data-vocabulaire"
"Rating: %s based on %s review(s)","Beoordeling: %s gebaseerd op %s beoordeling(en)"
"Refurbished","Hersteld"
"Reviews","Beoordelingen"
"Reviews / Votes","Beoordelingen / Stemmen"
"Rich Snippets Suite","Rich Snippets Suite"
"Schema.org","Schema.org"
"Schema.org Rich Snippets","Schema.org Rich Snippets"
"Schema: Breadcrumbs","Schema: Breadcrumbs"
"Schema: Offer","Schema: Aanbod"
"Schema: Organization","Schema: Organisatie"
"Schema: Rating","Schema: Beoordeling"
"Schema: Site Name","Schema: Site Naam"
"Server Name","Server Naam"
"Shop Rating Data","Shop Beoordeling Data"
"Show Condition","Conditie weergeven"
"Show Stock","Voorraad weergeven"
"Sitelinks Search Box","Sitelinks Zoekbalk"
"Hide snippets if there is no price","Verberg snippets indien er geen prijs is"
"Sitename","Sitenaam"
"Social Integration","Sociale Integratie"
"Social Media","Social Media"
"Source","Bron"
"Starting at:","Vanaf:"
"Tax Percentage","Belasting Percentage"
"Telephone","Telefoon"
"The image must be a minimum size of 120px by 120px and must be less than 1MB in file size.","De afbeelding moet een minimale afmeting hebben van 120px bij 120px. De bestandsgrootte mag niet meer zijn dan 1 mb."
"The Breadcrumb trail is a set of links (breadcrumbs) that can help a user understand and navigate your site's hierarchy, <br/>like for example: Yourstore > Books > Authors > Stephen King. When you activate the Breadcrumb, <br/>Google can use it to understand and present the information on your pages in our search results.<br/><br/>","De Breadcrumbs zijn een set van links (broodkruimels) dat een gebruiker kan helpen met begrijpen en navigeren door de site's hierarchie,<br> zoals: <strong>Jouwwinkel</strong> > <strong>Boeken </strong> > <strong>Autheurs</strong> > <strong>Stephen King.</strong><br>Wanneer u het broodkruim activeert, kan Google dit gebruiken om de actuele informatie op de pagina's te gebruiken in zoekresultaten.<br><br>"
"This Schema allows you to mark up the contact information on your site for your business or organization. This rich text formatting is referenced by Google Local as a source for its data.","Deze snippet staat u toe om contact informatie te markeren op de site voor uw bedrijf of organisatie. Deze opsomming wordt gebruikt door Google als een bron voor de bedrijfsdata."
"Twitter Cards","Twitter Product Cards"
"Twitter Company Link","Twitter Link"
"Twitter Username","Twitter Gebruikersnaam"
"Type of display","Type weergave"
"Use multiple currencies","Gebruik meerdere valuta"
"Unique Type","Uniek Type"
"Use structured data markup on your public website to indicate the preferred name you want Google to display in Search results. <br/>You can also provide more than one possible name for your site, and let Google Search algorithms choose between them. <br/>Also part of this schema is the Sitelinks Search Box that displays a searchbox directly in the SERP.<br/><br/>","Gebruik gestructureerde data markeringen op de publieke website om de geprefereerde naam aan te tonen welke u wilt dat Google weergeeft bij zoekresultaten.<br>U kunt ook meer dan 1 naam voor de site opgeven en Googles algoritmes laten kiezen tussen de opgegeven keuzes. <br/>Met deze markup wordt ook de Sitelink Search Box geactiveerd zodat deze direct getoond wordt in de zoekmachine resultaten.<br/><br/>"
"Used","Gebruikt"
"Use corporate contact markup on your official website to add your company's contact information to the Google Knowledge panel.<br/> In some searches, for example when a user enters your company’s name into the Search bar, this details will be shown. <br/><br/>","Toon de organisatie markup om Google te voorzien van de juiste contact informatie binnen de Google Knowledge Panel.<br>Deze informatie wordt getoond wanneer er bijvoorbeeld gezocht wordt op de bedrijfsnaam in Google.<br><br>"
"Visible - Complete schema block","Zichtbaar - Compleet schema blok"
"Visible - Summary block in footer","Zichtbaar - Samenvatting blok in voettekst"
"Visible: Block (content)","Zichtbaar: Blok (inhoud)"
"Visible: Block (footer)","Zichtbaar: Blok (voettekst)"
"Visible: Sidebar (recommend)","Zichtbaar: Zijbalk (aanbevolen)"
"Votes","Stemmen"
"Yes, same for all","Ja, dezelfde voor allemaal"
"Yes, use attribute","Ja, gebruik attribuut"
"Yotpo Reviews","Yotpo Beoordelingen"
"out of 100","van de 100"
"out of 5","van de 5"
"Open Graph: Title","Open Graph: Titel"
"Open Graph: Description","Open Graph: Omschrijving"
"Open Graph: Logo","Open Graph: Logo"
"Force detailed product breadcrumbs.","Verplicht gedetailleerde breadcrumbs."
"Be reasonbly similar to your domain name. Be a natural name used to refer to the site, such as ""Magmodules,"" rather than ""Magmodules, Inc."". Be unique to your site and not used by some other site not be a misleading description of your site.","Wees redelijk hetzelfde als de domeinnaam. Laat een natuurlijk naar gebruiken om te refereren aan de site, zoals ""Magmodules,"" in plaats van ""Magmodules, Inc."". Voer een unieke naam in voor de site welke niet gebruikt wordt op een andere site en voorkom een misleidende omschrijving van uw site."
"The breadcrumb trail is a set of links (breadcrumbs) that can help a user understand and navigate your site's hierarchy, like this: <strong>Yourstore </strong>› <strong>Books </strong>› <strong>Authors</strong> › <strong>Stephen King.</strong> When you activate the Breadcrumb, Google can use it to understand and present the information on your pages in our search results.","Het breadcrumb pad is een set van links (broodkruimels) dat een gebruiker kan helpen met begrijpen en navigeren door de site's hierarchie, zoals dit: <strong>Jouwwinkel </strong>› <strong>Boeken </strong>› <strong>Auteurs</strong> › <strong>Stephen King.</strong> Wanneer u de breadcrumbs activeert, kan Google dit gebruiken om de actuele informatie op uw pagina's te gebruiken in zoekresultaten."
"This will overwrite your custom breadcrumbs.phtml, see our knowledgebase for more information.","Dit zal uw standaard breadcrumbs.phtml overschrijven, zie onze knowledgebase voor meer informatie."
"Select the markup method for the Breadcrumb, you can use the traditional Schema.org markup or the RDFa structure, more information about these markups can be found right <a href=""https://developers.google.com/structured-data/"" target=""_blank"">here</a>.","Selecteer de markeermethode voor de breadcrumbs, u kunt de standaard Schema.org markering of de RDFa structuur gebruiken, meer informatie over deze markeringen zijn te vinden rechts <a href=""https://developers.google.com/structured-data/"" target=""_blank"">here</a>."
"Replace the Home breadcrumb with a cutom title.","Vervang de Home breadcrumbs met een handmatige titel."
"Enter the appropriate social media link.","Voeg de juiste social media link in."
"Can be used for: Organization Links.","Kan gebruikt worden voor: Organisatie Links."
"Can be used for: Rich Pins (product / category) &amp; Organization Links.","Kan gebruikt worden voor: Rich Pins (product / categorie) &amp; Organisatie Links."
"An improved search box within the search results. When shown, it will make it easier for users to reach specific content on your site, directly through your own site-search pages.","Een verbeterde zoekbalk in de zoek resultaten. Wanneer afgebeeld, zal dit het makkelijker maken voor gebruikers om specifieke inhoud van uw site te bereiken, direct door uw eigen site-zoekmachine paginas."
"Enable the Rich Snippets on your product page to show your rich product data in Google, Yahoo and BING.","Activeer de Rich Snippets op uw product pagina om uw product data te laten zien in Google, Yahoo and BING."
"The extension makes a little summary about your product. To implement the rich snippets the best way, we recommend to show this summary markup on your productpage with JSON-LD or the visible markup. You can also choose to place the markup manually. Read more about this setting in our Knowledgebase.","De extensie maakt een kleine samenvatting over uw product. Om de the rich snippets op de beste manier te implementeren, raden wij het aan om deze opsomming weer te geven op uw productpagina met JSON-LD of het complete schema blok. U kunt er ook voor kiezen om het blok manueel toe te voegen in de lay-out. Lees hier meer over in onze Knowledgebase."
"Select the location of the product summary block.","Selecteer de locatie van het product sammenvattingsblok."
"Select if you want to show the product summary before or after the content.","Selecteer of u de product sammen vatting wilt weergeven voor of na de inhoud."
"Select the location of the product summary.","Selecteer de locatie van de productsamenvatting."
"Select the position of the product summary block.","Selecteer de locatie van het product sammenvattingsblok."
"Use default Magento product pricing or custom attribute. Only change this to attribute if you have overwritten the price function in Magento!","Gebruik de standaard Magento product prijzen of standaard attributen. Verander deze attributen alleen als u de prijs functie in Magento heeft overschreven."
"Select the attribute (decimal) used for pricing.","Selecteer het attribuut (decimaal) gebruikt voor prijzen."
"When the tax percentage is 21% use 21.","Als het belasting percentage 21% is gebruik 21."
"Display in stock or out of stock in the search results.","Geef weer of de producten wel of niet op voorraad zijn in de zoekresultaten."
"Select the attribute (text) used for product-description.","Selecteer het attribuut (text) gebruikt voor de productomschrijving."
"Display review score (stars) in the search results.","Geef beoordelingsscore weer (sterren) in de zoekresultaten."
"Select if you want to show the product reviews or product votes.","Selecteer of u de product beoordelingen of stemmen weer wilt geven."
"Select the rating out of 100 or out of 5 (stars).","Selecteer de beoordeling van de 100 of van de 5 (sterren)."
"Display the description of your product in search result.","Geef de beschrijving van uw product weer in de zoekresultaten."
"Use 0 for full length.","Gebruik 0 voor volledige lengte."
"Display the productbrand in search results.","Geef de merknaam weer in zoekresultaten."
"Select the attribute used for brand (default: Manufacturer).","Selecteer de attribuut gebruikt voor het merk (standaard: Leverancier)."
"Display brand in search result.","Geef de merknaam weer in zoekresultaten."
"Select the attribute used for color (default: Color).","Selecteer het attribuut gebruikt voor kleur (standaard: Kleur)."
"Display the model in the search results.","Geef model weer in zoekresultaten."
"Select the attribute used for model (default: model).","Selecteer het attribuut gebruikt voor model (Standaard: Model)."
"Use unique product id (EAN, UPC, ISBN, etc).","Gebruik uniek product id (EAN, UPC, ISBN, etc)."
"Select the attribute used as unique product id (default: SKU).","Selecteer het attribuut gebruikt als uniek product id (default: SKU)."
"The Global Trade Item Number (GTIN) is a 14-digit number which includes various EAN/UCC numbering structures and is used to uniquely identify a product worldwide. EAN/UCC product identification numbers allow a unique identifying GTIN number to be derived in the system. All EAN/UCC numbers are considered as 14-digit numbers, right justified and zero filled where necessary.","The Global Trade Item Number (GTIN) is een 14-cijferig nummer welke verschillende EAN/UCC nummerings structuren heeft en wordt wereldwijd gebruikt om producten te identificeren. EAN / UCC productidentificatie-nummers zijn ontstaan vanuit een identificerend GTIN. Alle EAN / UCC nummers worden opgebouwd als 14-cijferige nummers."
"Generate Rich Snippets for your categegory page e.g. <br>Our cell phones has been rated 2.4/5 based on 12 individual customer review(s).","Generate Rich Snippets for your categegory page e.g. <br>Our cell phones has been rated 2.4/5 based on 12 individual customer review(s)."
"The extension makes a little summary about your category. To implement the rich snippets the best way, we recommend to show this summary markup on your productpage with JSON-LD or the visible markup. You can also choose to use hidden tags, it's still working but it can take some more time for crawling your data.","The extension makes a little summary about your category. To implement the rich snippets the best way, we recommend to show this summary markup on your productpage with JSON-LD or the visible markup. You can also choose to use hidden tags, it's still working but it can take some more time for crawling your data."
"Select if you want to show the category summary before of after the content.","Selecteer of u de categorie samenvatting voor of na de inhoud wilt weergeven."
"Select if you want to manually add the code or if you want the code added automatically.","Selecteer of de code handmatig wilt toevoegen, of dat dit automatisch gebeurd."
"Select the location of the Rich Snippet summary.","Selecteer de locatie van de  Rich Snippet samenvatting."
"Select if you want to show the category summary before of after the content.","Selecteer of u de categorie samenvatting voor of na de inhoud wilt weergeven."
"Select how you want to show your category price in your front-end and search engines.","Selecteer hoe u de uw prijscategorie wilt weergeven in zoekmachines."
"Price is a recommended fields so we recommend that you don't use the rich snippets block without a price.","Prijs is een aangeraden toevoeging dus we raden u aan dat u de rich snippets blok zonder prijs niet gebruikt."
"Display the description of your category in search result.","Geef de omschrijving van uw categorie in uw zoekresultaten."
"Select if you want to show the product reviews or product votes.","Selecteer of u de productbeoordelingen of stemmen wilt weergeven."
"Select the rating out of 100 or out of 5 (stars).","Selecteer de beoordeling van de 100 of van de 5 (sterren)."
"Display the category description in the search results.","Geef de omschrijving van uw categorie in uw zoekresultaten."
"Easily Connect your Shopreview data with the Rich Snippets. Whenever you don''t have Shopreviews you can disable this function or use our Shopreview extension.","Integreer winkelbeoordelingen in de Rich Snippets en toon je rating als bedrijfsinformatie, selecteer een beoordelingsplatform of maak gebruik van onze Winkelbeoordeling extensie."
"When there isn't any price available we recommend hiding it.","Indien geen prijs beschikbaar raden wij het aan om deze te verbergen."
"Generate Rich Snippets for your categegory page e.g. <br>Our cell phones has been rated 2.4/5 based on 12 individual customer review(s).","Genereer Rich Snippets voor de categorie pagina als; <br>Onze Digitale Camera's zijn beoordeeld met 2.4/5 gebaseerd op 12 individuele klantbeoordelingen."
"The Breadcrumb trail is a set of links (breadcrumbs) that can help a user understand and navigate your site's hierarchy, <br/>like for example: Yourstore > Books > Authors > Stephen King. When you activate the Breadcrumb, <br/>Google can use it to understand and present the information on your pages in our search results.<br/><br/>","De Breadcrumb opmaak is een set van verschillende links om de bezoeker de site indeling en gekozen paden te laten begrijpen (broodkruimel).<br> Als voorbeeld: Winkel > Boeken > Auteur > Stephen King. Wanneer je de Breadcrumbs activeerd laat je Google deze hiërarchie beter begrijpen.<br/><br/>"
"Telephone","Telefoon"
"Type","Type"
"Options","Opties"
"Area's","Area"
"Languages","Talen"
"Social Links","Social Links"
"Url's to your social media outlets, like facebook, twitter, etc.","URL's van de Social Media accounts"
"To claim an existing physical business or create a new one, use <a href=""http://business.google.com/"" target=""_blank"">Google My Business</a>. <br/>Once you verify yourself as the owner of a listing, you can provide and edit your address, contact info, business type, and photos. <br/>This enables your local business information to show up in Google Maps and in Knowledge Graph cards.<br/><br/>","Om je bedrijfsnaam te claimen of opnieuw aan te maken binnen Google, gebruik <a href=""http://business.google.com/"" target=""_blank"">Google My Business</a>.<br>Wanneer uw zichzelf heeft geverifieerd als eigenaar is het mogelijk om het adres, bedrijfstype, locatie en openingstijden toe te voegen. <br>Hiermee wordt de bedrijfsinformatie getoond in de Google Knowledge Graph Cards en Google Maps.<br/><br/>"
"Company","Bedrijf"
"Address","Adres"
"City","Stad"
"Country","Land"
"Telephone","Telefoon"
"Geo: Latitude","Geo: Latitude"
"Geo: Longitude","Geo: Longitude"
"The price range of the business, for example $$$.","De prijs range van de producten, als voorbeeld $$$."
"Opening Hours","Openingstijden"
"Day","Dag"
"Opening Time","Openingstijd"
"Closing Time","Sluitingstijd"
"Monday","Maandag"
"Tuesday","Dinsdag"
"Wednesday","Woensdag"
"Thursday","Donderdag"
"Friday","Vrijdag"
"Only show on","Alleen tonen voor"
"Saturday","Zaterdag"
"Sunday","Zondag"
"Google supports reviews and ratings for a wide range of schema.org types, including businesses, products, and different creative works. <br/>For business reviews it needs to have a source of reviews that reflect ""shop reviews"", it is not allowed to use product reviews for this.<br/>Also Google recommends to only use these reviews on the homepage. <br/><br/>","Google ondersteund reviews en beoordelingen voor verschillende schema.org soorten inclusief bedrijven, producten en creatief werk of artikelen.<br>Voor bedrijfs beoordelingen is er een bron nodig welke de """Winkelbeoordelingen"" tonen, het is hier niet toegestaan om de product beoordelingen te gebruiken. Tevens adviseert Google deze enkel op de Homepage te tonen. <br/><br/>"
"Source","Bron"
"Make sure the homepage also has an overview of the reviews","Controleer of deze beoordelingen ook op de homepage worden weergegeven"
"Limit to Homepage","Limiteer tot de Homepage"
"We recommend to only show the rating markup on the homepage","We adviseren om deze markup enkel op de Homepage te tonen"
"If you're a merchant, you can give Google detailed product information that we can use to display rich results <br/>(for example, price, availability, and review ratings) right on Search results pages.Using this markup to enable<br/>rich product results lets you attract potential buyers while they are searching for items to buy on Google. <br/><br/>","Met deze Rich Snippets is het mogelijk om gedetaileerde product informatie te tonen in de Zoekmachine resultaten<br>(bijvoorbeeld voor prijs, beschikbaarheid en reviews). Door deze informatie direct te tonen in de zoek resultaten<br>valt het resultaat meer waardoor er een hoger doorklik percentage bereikt kan worden.<br/><br/>"
"Select the location of the product summary. Check our Knowledge Base for a detailed description about the Manual option.","Selecteer de locatie van de product samenvatting. Bekijk onze Knowledgebase voor gedetailleerde informatie over de Manuele optie."
"Position","Positie"
"Select if you want to show the product summary before of after the content.","Selecteer of je de product samenvatting wenst te tonen voor of na de hoofd content"
"Seller Name","Naam Verkoper"
"Default Condition","Standaard conditie"
"Source","Bron"
"Extra Data: Attributes (supported)","Extra Data: Attributen (ondersteund)"
"Add extra Attibutes","Voeg extra attributen toe"
"Attribute","Attribuut"
"Extra Data: Attributes (custom)","Extra Data: Attributen (afwijkend)"
"Generate Rich Snippets for your categegory page e.g. Our cell phones has been rated 2.4/5 based on 12 individual customer review(s). <br/><br/><b>Disclaimer:</b> Please keep in mind that Google has depreciated this function recently. <br/>We suggest to only use this function on category pages that are used for landingspages with a limited product collection.<br/> When using this function on normal category pages Google will see this as Rich Snippets spam and there is a possiblity that Google will  switch off all the Rich Snippet results.<br/><br/>","Activeer Rich Snippets voor je categoriepagina als; Onze telefoons zijn beoordeeld met 2.5/5 gebaseerd op 12 individuele klant beoordelingen.<br/><br/><b>Disclaimer:</b> Google heeft deze functie recentelijk uitgefaseerd. <br/> We adviseren om deze functie enkel te gebruiken op Categorie paginas welke meer gebruik worden als landingspages met een gelimiteerd aantal producten.<br/>Wanneer je deze functie gebruikt op een normale category listing pagina kunnen de Snippets gezien worden als Rich Snippet Spam waarmee het vervolg kan zijn dat Google alle Rich Snippets verwijdert van de zoekresultaten.<br/><br/>"
"Filter Categories","Filter Categorieën"
"Sold by ","Verkocht door"
"Sold by","Verkocht door"
"Add Company Name to Offer","Voeg naam van de verkoper toe"
"Not recommended","Niet aan te raden"
"Uses Logo as data","Gebruik logo als data"
"Uses Meta Description as data","Gebruik Meta omschrijving als data"
"Uses Meta Title as data","Gebruik Meta titel als data"
"Be reasonbly similar to your domain name. Be a natural name used to refer to the site, such as ""Magmodules,"" rather than ""Magmodules, Inc."". Be unique to your site and not used by some other site not be a misleading description of your site.","Zorg dat er genoeg gelijkenis is met de domeinnaam. De naam moet hier een natuurlijke afleiding van zijn, zoals ""Magmodules"" in plaats van ""Magodules Inc."". Deze titel mag niet misleidend zijn."
"Telephone","Telefoon"
"AW Blog Integration","AW Blog Integratie"
"Generate Rich Snippets for your Blog Postings when your using the AheadWorks Blog extension. <br>Used images as Blogpost image or the Publisher Logo should be raster, such as .jpg, .png, or .gif, not vector, such as .svg. <br/><br/><b>Blog Post Image:</b> The BlogPosting snippet requires an image. <br/>We suggest you only use the BlogPosting snippets when your using a image in your Blog Post. The extension uses the first image in the Blogpost as reference.<br>As it's a required value we recommend using the Snippets only when there is an Image available. This image should be at least 696 pixels wide.<br/><br/><b>Publisher Logo URL:</b> The BlogPosting snippets requires an publisher logo.<br/>Be exactly 60px high (preferred), or exactly 600px wide. For example, 450x45px would not be acceptable, even though it fits in the 600x60px rectangle.<br>Logos with a solid background should include 6px minimum padding around the wordmark. Use full wordmark or full logo; not an icon.<br><a href=""https://developers.google.com/search/docs/data-types/articles"" target=""new"">Read More</a>","Genereer Rich Snippets voor je Blog wanneer er gebruikt wordt gemaakt van de AheadWorks Blog extensie.<br>Gebruikte afbeeldingen voor de blog afbeelding of logo moeten in rasterformaat als .jpg, .png of .gif worden aangeleverd en niet in vector als .svg<br/><br/><b>Blog Post Afbeelding:</b>De BlogPosting snippet opmaakt vereist een afbeelding.<br/>We adviseren om de snippets enkel te gebruiken in combinatie met een afbeelding. De extensie gebruikt de eerst beschikbare afbeelding van de post. Afbeeldingen moeten op zijn minst 696 pixels breed zijn.<br/><br/><b>Auteur Logo URL:</b> De BlogPosting snippets stellen een auteur logo verplicht. <br/>De afmeting van dit logo moet exact een hoogte hebben van 60px (voorkeur), of exact 600px breed. Als voorbeeld, een logo van 450x45px wordt niet geaccepteerd ondanks dat deze in het kader past. Een logo met een achtergrond dient een ruimte van 6px om het logo te hebben. Gebruik tevens het logo en niet een ICON.<br/><a href=""https://developers.google.com/search/docs/data-types/articles"" target=""new"">Lees Meer</a>"